matchId,game_minute,shots,goals
5233053,3.1,1,0
5233053,8.75,1,0
5233053,10.266666666666667,1,0
5233053,18.8,1,0
5233053,21.666666666666668,1,0
5233053,24.933333333333334,1,0
5233053,36.9,1,0
5233053,40.86666666666667,1,1
5233053,44.016666666666666,1,0
5233053,45.61666666666667,1,0
5233053,68.41666666666667,1,0
5233053,74.46666666666667,1,0
5233053,81.08333333333333,1,0
5233053,85.3,1,0
5233054,9.516666666666667,1,0
5233054,22.7,1,0
5233054,23.866666666666667,1,0
5233054,27.85,1,0
5233054,28.05,1,0
5233054,39.03333333333333,1,0
5233054,41.016666666666666,1,0
5233054,41.05,1,0
5233054,42.6,1,0
5233054,46.1,1,0
5233054,46.733333333333334,1,0
5233054,47.8,1,0
5233054,50.266666666666666,1,0
5233054,63.36666666666667,1,0
5233054,68.1,1,0
5233054,73.9,1,0
5233054,76.15,1,0
5233054,79.2,1,0
5233054,79.53333333333333,1,0
5233055,9.283333333333333,1,0
5233055,13.5,1,0
5233055,17.683333333333334,1,0
5233055,21.633333333333333,1,0
5233055,28.616666666666667,1,0
5233055,29.716666666666665,1,0
5233055,34.36666666666667,1,0
5233055,36.05,1,0
5233055,38.2,1,0
5233055,39.45,1,0
5233055,41.21666666666667,1,1
5233055,45.43333333333333,1,0
5233055,46.4,1,0
5233055,59.5,1,0
5233055,60.15,1,0
5233055,61.78333333333333,1,0
5233055,64.65,1,0
5233055,73.61666666666666,1,0
5233055,75.76666666666667,1,0
5233055,77.61666666666666,1,0
5233055,81.95,1,1
5233055,83.11666666666666,1,0
5233055,85.88333333333334,1,0
5233055,88.63333333333334,1,0
5233055,89.21666666666667,1,0
5233055,93.36666666666666,1,0
5233055,93.95,1,0
5233056,6.033333333333333,1,0
5233056,12.1,1,0
5233056,13.666666666666666,1,0
5233056,14.6,1,0
5233056,17.65,1,0
5233056,20.383333333333333,1,0
5233056,22.133333333333333,1,0
5233056,22.833333333333332,1,0
5233056,24.033333333333335,1,0
5233056,24.783333333333335,1,0
5233056,25.75,1,0
5233056,29.633333333333333,1,0
5233056,31.75,1,0
