matchId,team_name,player_name,location_x,location_y,shot_onTarget,shot_isGoal,shot_xg,shot_status
5233126,Lech Poznań,João Amaral,82,37,TRUE,FALSE,0.09458,På mål
5233126,Jagiellonia Białystok,Jesús Imaz,87,36,FALSE,FALSE,0.2493,Forbi mål
5233126,Jagiellonia Białystok,F. Černych,92,44,FALSE,FALSE,0.1828,Forbi mål
5233126,Lech Poznań,João Amaral,82,53,FALSE,FALSE,0.1064,Forbi mål
5233126,Lech Poznań,B. Salamon,65,62,FALSE,FALSE,0.001507,Forbi mål
5233126,Jagiellonia Białystok,Jesús Imaz,90,39,TRUE,FALSE,0.1118,På mål
5233126,Lech Poznań,B. Salamon,90,47,FALSE,FALSE,0.1679,Forbi mål
5233127,Legia Warszawa,André Martins,91,55,FALSE,FALSE,0.2545,Forbi mål
5233127,Legia Warszawa,B. Slisz,82,47,FALSE,FALSE,0.1919,Forbi mål
5233126,Lech Poznań,J. Karlström,90,43,FALSE,FALSE,0.2998,Forbi mål
5233126,Jagiellonia Białystok,Jesús Imaz,89,58,TRUE,TRUE,0.121,Mål
5233127,Raków Częstochowa,V. Gvilia,93,65,FALSE,FALSE,0.1338,Forbi mål
5233127,Legia Warszawa,K. Skibicki,83,30,FALSE,FALSE,0.001191,Forbi mål
5233126,Lech Poznań,A. Ba Loua,73,44,TRUE,FALSE,0.03391,På mål
5233126,Jagiellonia Białystok,К. Struski,80,52,FALSE,FALSE,0.02944,Forbi mål
5233127,Legia Warszawa,F. Mladenović,73,26,FALSE,FALSE,0.001152,Forbi mål
5233126,Lech Poznań,João Amaral,88,48,FALSE,FALSE,0.1387,Forbi mål
5233126,Jagiellonia Białystok,T. Romanczuk,74,57,FALSE,FALSE,0.001216,Forbi mål
5233127,Legia Warszawa,M. Emreli,95,33,TRUE,TRUE,0.04638,Mål
5233126,Jagiellonia Białystok,Israel Puerto,90,40,FALSE,FALSE,0.0943,Forbi mål
5233126,Lech Poznań,M. Skóraś,81,28,FALSE,FALSE,0.03299,Forbi mål
5233126,Lech Poznań,F. Marchwiński,93,47,FALSE,FALSE,0.246,Forbi mål
5233126,Lech Poznań,M. Ishak,89,37,FALSE,FALSE,0.1231,Forbi mål
5233126,Lech Poznań,Pedro Silva,86,61,FALSE,FALSE,0.03745,Forbi mål
5233127,Raków Częstochowa,Ivi López,87,55,FALSE,FALSE,0.1735,Forbi mål
5233127,Raków Częstochowa,F. Tudor,98,46,TRUE,TRUE,0.6422,Mål
5233127,Legia Warszawa,Josué,82,63,FALSE,FALSE,0.005633,Forbi mål
5233127,Legia Warszawa,I. Kharatin,79,26,TRUE,FALSE,0.01112,På mål
5233127,Raków Częstochowa,V. Gvilia,79,44,FALSE,FALSE,0.0298,Forbi mål
5233127,Legia Warszawa,E. Muçi,80,28,TRUE,FALSE,0.03875,På mål
5233127,Legia Warszawa,I. Kharatin,85,59,TRUE,TRUE,0.1014,Mål
5233127,Legia Warszawa,T. Pekhart,92,44,FALSE,FALSE,0.1423,Forbi mål
5233127,Raków Częstochowa,D. Szelągowski,71,57,FALSE,FALSE,0.005987,Forbi mål
5233127,Legia Warszawa,F. Mladenović,68,61,FALSE,FALSE,0.01578,Forbi mål
5233127,Legia Warszawa,M. Emreli,95,52,FALSE,FALSE,0.247,Forbi mål
5233127,Raków Częstochowa,I. Sapała,88,32,FALSE,FALSE,0.005827,Forbi mål
5233127,Legia Warszawa,M. Emreli,88,44,TRUE,FALSE,0.0772,På mål
5233127,Legia Warszawa,M. Wieteska,85,60,FALSE,FALSE,0.04025,Forbi mål
5233128,Piast Gliwice,D. Kądzior,90,55,TRUE,TRUE,0.1769,Mål
5233128,Cracovia Kraków,C. Râpă,94,71,TRUE,TRUE,0.03219,Mål
5233128,Cracovia Kraków,P. van Amersfoort,71,81,FALSE,FALSE,0.009782,Forbi mål
5233128,Cracovia Kraków,P. van Amersfoort,92,51,TRUE,TRUE,0.2003,Mål
5233128,Cracovia Kraków,M. Álvarez,86,50,TRUE,FALSE,0.1249,På mål
5233128,Cracovia Kraków,K. Knap,85,50,FALSE,FALSE,0.1427,Forbi mål
5233128,Cracovia Kraków,K. Knap,95,52,TRUE,FALSE,0.273,På mål
5233128,Cracovia Kraków,P. van Amersfoort,91,41,TRUE,TRUE,0.2433,Mål
5233128,Piast Gliwice,M. Ameyaw,97,45,TRUE,TRUE,0.6036,Mål
5233128,Cracovia Kraków,P. van Amersfoort,95,57,FALSE,FALSE,0.09675,Forbi mål
5233128,Cracovia Kraków,K. Pestka,88,39,TRUE,FALSE,0.2194,På mål
5233128,Piast Gliwice,D. Kądzior,86,65,FALSE,FALSE,0.08157,Forbi mål
5233128,Piast Gliwice,A. Katranis,72,47,FALSE,FALSE,0.01003,Forbi mål
5233128,Cracovia Kraków,P. van Amersfoort,90,35,TRUE,TRUE,0.2035,Mål
5233128,Piast Gliwice,P. Lipski,88,36,FALSE,FALSE,0.1868,Forbi mål
5233128,Cracovia Kraków,M. Hebo Rasmussen,72,39,TRUE,FALSE,0.04951,På mål
5233128,Piast Gliwice,N. Stojiljković,89,57,TRUE,FALSE,0.126,På mål
5233128,Piast Gliwice,Tiago Alves,77,50,FALSE,FALSE,0.07575,Forbi mål
5233129,Stal Mielec,M. Mak,92,42,TRUE,FALSE,0.09762,På mål
5233129,Stal Mielec,G. Tomasiewicz,74,58,FALSE,FALSE,0.004312,Forbi mål
5233129,Radomiak Radom,D. Jakubik,92,93,FALSE,FALSE,9.864e-4,Forbi mål
5233129,Stal Mielec,K. Getinger,84,73,TRUE,FALSE,0.02832,På mål
5233129,Radomiak Radom,K. Angielski,91,58,FALSE,FALSE,0.1358,Forbi mål
5233129,Radomiak Radom,M. Cichocki,90,37,FALSE,FALSE,0.1558,Forbi mål
5233129,Radomiak Radom,D. Abramowicz,77,29,FALSE,FALSE,0.006004,Forbi mål
5233129,Stal Mielec,Jonathan De Amo,83,40,FALSE,FALSE,0.1018,Forbi mål
5233129,Radomiak Radom,Luís Machado,78,23,FALSE,FALSE,0.01156,Forbi mål
5233129,Radomiak Radom,Filipe Nascimento,84,36,FALSE,FALSE,0.07036,Forbi mål
5233129,Stal Mielec,M. Sitek,88,62,TRUE,FALSE,0.1995,På mål
5233129,Radomiak Radom,Filipe Nascimento,75,57,FALSE,FALSE,0.0392,Forbi mål
