matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,pass,groundDuel,aerialDuel,infraction,carry,type_primary,type_secondary,location_x,location_y,team_id,team_name,team_formation,opponentTeam_id,opponentTeam_name,opponentTeam_formation,player_id,player_name,player_position,shot_bodyPart,shot_isGoal,shot_onTarget,shot_goalZone,shot_xg,shot_postShotXg,shot_goalkeeperActionId,shot_goalkeeper_id,shot_goalkeeper_name,possession_id,possession_duration,possession_types,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,possession_endLocation_x,possession_endLocation_y,possession_team_id,possession_team_name,possession_team_formation,possession_attack_withShot,possession_attack_withShotOnGoal,possession_attack_withGoal,possession_attack_flank,possession_attack_xg,distance_to_goal,angle_to_goal
5233296,2H,78,39,01:18:39.129,4808.129864,NA,NA,NA,NA,NA,NA,shot,,63,27,13520,Zagłębie Lubin,4-1-4-1,13544,Stal Mielec,3-4-3,82350,E. Daniel,LW,right_foot,TRUE,TRUE,gt,0.08394,0.1646,1245497121,507594,R. Strączek,1245497815,6.978028,,4,3,22,11,63,27,13520,Zagłębie Lubin,4-1-4-1,TRUE,TRUE,TRUE,left,0.0839,43.56604182158393,31.86597769360368
5233296,2H,84,0,01:24:00.574,5129.574399,NA,NA,NA,NA,NA,NA,shot,,89,42,13520,Zagłębie Lubin,4-1-4-1,13544,Stal Mielec,3-4-3,82459,M. Doležal,CF,head_or_other,TRUE,TRUE,gl,0.07129,0.1535,1245497191,507594,R. Strączek,1245497835,9.4055365,,8,7,100,0,89,42,13520,Zagłębie Lubin,4-1-4-1,TRUE,TRUE,TRUE,right,0.0713,13.601470508735444,36.02737338510361
5233297,1H,29,48,00:29:48.053,1794.053797,NA,NA,NA,NA,NA,NA,shot,,94,57,13510,Lech Poznań,4-2-3-1,13505,Legia Warszawa,4-4-2,138396,L. Šatka,RCB,right_foot,TRUE,TRUE,glb,0.4423,0.8094,1246532870,18970,R. Strebinger,1246533285,2.7880625,,4,3,66,81,94,57,13510,Lech Poznań,4-2-3-1,TRUE,TRUE,TRUE,center,0.4423,9.219544457292887,49.398705354995535
5233297,1H,39,43,00:39:43.278,2389.278112,NA,NA,NA,NA,NA,NA,shot,,90,38,13505,Legia Warszawa,4-4-2,13510,Lech Poznań,4-2-3-1,70491,Rafa Lopes,CF,head_or_other,TRUE,TRUE,gr,0.07084,0.3369,1246533557,1706,M. van der Hart,1246533090,1.375437,,4,3,66,5,90,38,13505,Legia Warszawa,4-4-2,TRUE,TRUE,TRUE,left,0.0708,15.620499351813308,50.19442890773481
5233298,1H,10,41,00:10:41.535,647.535911,NA,NA,NA,NA,NA,NA,shot,,89,59,13559,Lechia Gdańsk,4-1-4-1,13712,Nieciecza,3-4-3,168824,L. Zwoliński,CF,left_foot,TRUE,TRUE,gtr,0.2345,0.698,1247028875,336012,P. Pavlyuchenko,1247028541,14.415154,,14,13,27,0,89,59,13559,Lechia Gdańsk,4-1-4-1,TRUE,TRUE,TRUE,center,0.2345,14.212670403551895,39.28940686250036
5233298,2H,93,51,01:33:51.816,5722.816041,NA,NA,NA,NA,NA,NA,shot,,88,56,13559,Lechia Gdańsk,4-2-3-1,13712,Nieciecza,3-4-3,79260,Flávio Paixão,CF,right_foot,TRUE,TRUE,gb,0.3126,0.3511,1247030674,336012,P. Pavlyuchenko,1247030436,12.0596255,,9,8,23,45,88,56,13559,Lechia Gdańsk,4-2-3-1,TRUE,TRUE,TRUE,left,0.3126,13.416407864998739,26.56505117707799
5233299,1H,32,8,00:32:08.068,1934.068154,NA,NA,NA,NA,NA,NA,shot,,93,63,13518,Pogoń Szczecin,4-1-4-1,13508,Wisła Płock,4-1-4-1,33032,K. Grosicki,LW,right_foot,TRUE,TRUE,glb,0.1105,0.7683,1252354687,100127,K. Kamiński,1252354694,22.0595,,18,17,74,100,93,63,13518,Pogoń Szczecin,4-1-4-1,TRUE,TRUE,TRUE,center,0.1105,14.7648230602334,61.69924423399363
5233299,1H,36,5,00:36:05.112,2171.112536,NA,NA,NA,NA,NA,NA,shot,,85,40,13508,Wisła Płock,4-1-4-1,13518,Pogoń Szczecin,4-1-4-1,100155,L. Sekulski,CF,right_foot,TRUE,TRUE,gl,0.08846,0.2289,1252354738,69354,D. Stipica,1252354791,4.5713485,,12,11,63,78,85,40,13508,Wisła Płock,4-1-4-1,TRUE,TRUE,TRUE,center,0.0885,18.027756377319946,33.690067525979785
5233299,2H,62,4,01:02:04.572,3796.572785,NA,NA,NA,NA,NA,NA,shot,,87,57,13508,Wisła Płock,4-1-4-1,13518,Pogoń Szczecin,4-1-4-1,278876,Jorginho,LCMF,right_foot,TRUE,TRUE,gbr,0.2291,0.6163,1252355334,69354,D. Stipica,1252355296,17.178087,,9,8,8,39,87,57,13508,Wisła Płock,4-1-4-1,TRUE,TRUE,TRUE,center,0.2291,14.7648230602334,28.30075576600638
5233300,1H,43,51,00:43:51.914,2637.91462,NA,NA,NA,NA,NA,NA,shot,,93,40,13551,Radomiak Radom,4-4-2,13527,Jagiellonia Białystok,4-4-1-1,168881,D. Abramowicz,LB,left_foot,TRUE,TRUE,gl,0.2851,0.5251,1250213747,18573,Z. Alomerović,1250214500,2.6215975,,4,3,100,100,93,40,13551,Radomiak Radom,4-4-2,TRUE,TRUE,TRUE,right,0.2851,12.206555615733702,55.00797980144134
