shot_goalZone,team_name,player_name,matchPeriod,goals
gt,Lech Poznań,B. Salamon,2H,1
gt,Lech Poznań,J. Kamiński,1H,1
gt,Lech Poznań,J. Kamiński,2H,1
gt,Lechia Gdańsk,J. Kałuziński,1H,1
gt,Lechia Gdańsk,M. Terrazzino,2H,1
gt,Legia Warszawa,Carlitos,2H,1
gt,Legia Warszawa,F. Mladenović,2H,1
gt,Legia Warszawa,M. Emreli,1H,1
gt,Nieciecza,A. Radwański,1H,1
gt,Nieciecza,M. Mešanović,2H,2
gt,Piast Gliwice,A. Mosór,2H,1
gt,Piast Gliwice,Alberto Toril,2H,1
gt,Piast Gliwice,K. Wilczek,2H,2
gt,Piast Gliwice,M. Konczkowski,2H,1
gt,Piast Gliwice,N. Stojiljković,2H,1
gt,Piast Gliwice,P. Sokołowski,1H,1
gt,Piast Gliwice,P. Sokołowski,2H,1
gt,Pogoń Szczecin,L. Zahovič,2H,1
gt,Pogoń Szczecin,M. Kucharczyk,2H,1
gt,Radomiak Radom,Raphael,2H,1
gt,Raków Częstochowa,B. Nowak,2H,1
gt,Raków Częstochowa,F. Piasecki,2H,1
gt,Stal Mielec,B. Chorbadzhiyski,2H,1
gt,Stal Mielec,G. Tomasiewicz,1H,1
gt,Stal Mielec,M. Mak,2H,1
gt,Stal Mielec,M. Matras,2H,1
gt,Stal Mielec,M. Żyro,2H,1
gt,Warta Poznań,A. Zreľák,1H,1
gt,Warta Poznań,A. Zreľák,2H,2
gt,Warta Poznań,F. Castañeda,2H,1
gt,Widzew Łódź,M. Miloš,2H,1
gt,Wisła Kraków,A. El Mahdioui,1H,1
gt,Wisła Kraków,Luis Fernández,1H,1
gt,Wisła Płock,Davo,1H,1
gt,Wisła Płock,Davo,2H,1
gt,Wisła Płock,M. Kolar,2H,1
gt,Zagłębie Lubin,E. Daniel,2H,1
gt,Zagłębie Lubin,F. Starzyński,2H,1
gt,Zagłębie Lubin,M. Doležal,1H,1
gt,Zagłębie Lubin,P. Szysz,2H,2
gtl,Cracovia Kraków,B. Källman,2H,1
gtl,Cracovia Kraków,O. Kakabadze,2H,1
gtl,Górnik Zabrze,B. Nowak,2H,1
gtl,Górnik Zabrze,L. Podolski,1H,1
gtl,Górnik Zabrze,R. Jensen,2H,1
gtl,Górnik Zabrze,S. Włodarczyk,1H,1
gtl,Górnik Łęczna,J. Lokilo,2H,1
gtl,Górnik Łęczna,P. Banaszak,2H,1
gtl,Jagiellonia Białystok,Israel Puerto,1H,1
gtl,Jagiellonia Białystok,Jesús Imaz,2H,1
gtl,Jagiellonia Białystok,M. Żyro,2H,1
gtl,Korona Kielce,J. Łukowski,2H,1
gtl,Lech Poznań,A. Milić,2H,1
gtl,Lech Poznań,João Amaral,1H,1
gtl,Lech Poznań,K. Velde,1H,1
gtl,Lech Poznań,M. Ishak,1H,1
gtl,Lech Poznań,M. Ishak,2H,1
gtl,Lech Poznań,M. Skóraś,2H,1
gtl,Lechia Gdańsk,Flávio Paixão,2H,1
gtl,Lechia Gdańsk,M. Gajos,1H,1
gtl,Lechia Gdańsk,Í. Durmuş,1H,1
gtl,Lechia Gdańsk,Í. Durmuş,2H,1
gtl,Legia Warszawa,Rafa Lopes,2H,1
gtl,Miedź Legnica,S. Matuszek,1H,1
gtl,Nieciecza,A. Radwański,2H,1
gtl,Piast Gliwice,Alberto Toril,2H,1
gtl,Piast Gliwice,C. Reiner,1H,1
gtl,Piast Gliwice,K. Wilczek,1H,1
gtl,Pogoń Szczecin,V. Bichakhchyan,2H,1
gtl,Radomiak Radom,D. Abramowicz,2H,1
gtl,Radomiak Radom,Leândro,1H,1
gtl,Radomiak Radom,Leândro,2H,1
gtl,Radomiak Radom,Roberto Alves,2H,1
gtl,Raków Częstochowa,M. Cebula,2H,1
gtl,Raków Częstochowa,M. Wdowiak,2H,2
gtl,Raków Częstochowa,P. Kun,1H,1
gtl,Stal Mielec,A. Kolev,1H,1
gtl,Stal Mielec,F. Gerbowski,2H,1
gtl,Stal Mielec,F. Hiszpański,1H,1
gtl,Stal Mielec,M. Mak,2H,1
gtl,Stal Mielec,O. Zawada,2H,1
gtl,Stal Mielec,P. Żyra,2H,1
gtl,Stal Mielec,S. Hamulic,1H,1
gtl,Stal Mielec,S. Hamulic,2H,1
gtl,Warta Poznań,E. Destan,1H,1
gtl,Widzew Łódź,M. Hanousek,2H,1
gtl,Wisła Kraków,E. Manu,2H,1
gtl,Wisła Kraków,Luis Fernández,2H,1
gtl,Wisła Kraków,N. Kuveljić,2H,1
gtl,Wisła Płock,D. Rasak,1H,2
gtl,Wisła Płock,D. Warchoł,1H,1
gtl,Wisła Płock,K. Vallo,1H,1
gtl,Zagłębie Lubin,K. Kruk,2H,1
gtl,Zagłębie Lubin,M. Doležal,2H,1
gtl,Śląsk Wrocław,M. Praszelik,2H,1
gtl,Śląsk Wrocław,P. Schwarz,2H,1
gtr,Cracovia Kraków,C. Râpă,2H,1
gtr,Cracovia Kraków,M. Rodin,2H,1
gtr,Górnik Zabrze,E. Janža,2H,1
gtr,Górnik Zabrze,Higinio Marín,2H,1
gtr,Górnik Zabrze,K. Kubica,1H,1
gtr,Górnik Zabrze,L. Podolski,2H,1
gtr,Górnik Łęczna,B. Śpiączka,1H,1
gtr,Górnik Łęczna,D. Gąska,1H,1
gtr,Jagiellonia Białystok,Marc Gual,1H,1
gtr,Jagiellonia Białystok,Marc Gual,2H,1
gtr,Korona Kielce,J. Łukowski,1H,1
gtr,Lech Poznań,M. Ishak,1H,2
gtr,Lech Poznań,M. Skóraś,2H,1
gtr,Lech Poznań,N. Kvekveskiri,1H,1
gtr,Lechia Gdańsk,Flávio Paixão,1H,1
gtr,Lechia Gdańsk,L. Zwoliński,1H,1
gtr,Lechia Gdańsk,M. Gajos,2H,1
gtr,Lechia Gdańsk,M. Maloča,2H,1
gtr,Lechia Gdańsk,M. Terrazzino,2H,1
gtr,Lechia Gdańsk,M. Żukowski,1H,1
gtr,Lechia Gdańsk,Í. Durmuş,2H,1
gtr,Legia Warszawa,M. Holownia,2H,1
gtr,Legia Warszawa,P. Sokołowski,1H,1
gtr,Nieciecza,M. Mešanović,2H,1
gtr,Piast Gliwice,K. Wilczek,1H,1
gtr,Pogoń Szczecin,J. Bartkowski,1H,1
gtr,Pogoń Szczecin,K. Grosicki,1H,2
gtr,Pogoń Szczecin,K. Kozłowski,2H,1
gtr,Pogoń Szczecin,S. Kowalczyk,2H,1
gtr,Radomiak Radom,M. Grzybek,2H,1
gtr,Radomiak Radom,Raphael,1H,1
gtr,Raków Częstochowa,F. Piasecki,2H,1
gtr,Raków Częstochowa,Ivi López,1H,1
gtr,Raków Częstochowa,V. Gutkovskis,1H,1
gtr,Stal Mielec,A. Ratajczyk,1H,1
gtr,Stal Mielec,M. Domański,2H,1
gtr,Stal Mielec,M. Flis,2H,1
gtr,Stal Mielec,S. Hamulic,2H,1
gtr,Warta Poznań,F. Castañeda,2H,1
gtr,Warta Poznań,M. Szczepański,1H,1
gtr,Widzew Łódź,B. Pawłowski,2H,1
gtr,Wisła Kraków,M. Frydrych,2H,1
gtr,Wisła Kraków,Z. Ondrášek,1H,1
gtr,Wisła Płock,A. Pawlak,1H,1
gtr,Wisła Płock,Davo,2H,2
gtr,Wisła Płock,L. Sekulski,1H,1
gtr,Wisła Płock,P. Tomasik,1H,1
gtr,Wisła Płock,R. Wolski,1H,1
gtr,Wisła Płock,R. Wolski,2H,1
gtr,Zagłębie Lubin,S. Živec,2H,1
gtr,Zagłębie Lubin,T. Makowski,2H,1
gtr,Śląsk Wrocław,M. Praszelik,2H,1
gtr,Śląsk Wrocław,P. Schwarz,1H,1
