matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,pass,groundDuel,aerialDuel,infraction,carry,type_primary,type_secondary,location_x,location_y,team_id,team_name,team_formation,opponentTeam_id,opponentTeam_name,opponentTeam_formation,player_id,player_name,player_position,shot_bodyPart,shot_isGoal,shot_onTarget,shot_goalZone,shot_xg,shot_postShotXg,shot_goalkeeperActionId,shot_goalkeeper_id,shot_goalkeeper_name,possession_id,possession_duration,possession_types,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,possession_endLocation_x,possession_endLocation_y,possession_team_id,possession_team_name,possession_team_formation,possession_attack_withShot,possession_attack_withShotOnGoal,possession_attack_withGoal,possession_attack_flank,possession_attack_xg,distance_to_goal,angle_to_goal
5349316,1H,35,13,00:35:13.654,2119.654817,NA,NA,NA,NA,NA,NA,shot,,88,52,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,3-4-3,445636,Koldo Obieta,CF,right_foot,FALSE,TRUE,gb,0.2111,0.2927,1414463436,482171,B. Mrozek,1414464641,6.3184905,,3,2,48,3,88,52,13585,Miedź Legnica,4-1-4-1,TRUE,TRUE,FALSE,left,0.2111,12,9
5349316,1H,36,26,00:36:26.254,2192.254091,NA,NA,NA,NA,NA,NA,shot,,82,48,13544,Stal Mielec,3-4-3,13585,Miedź Legnica,4-1-4-1,99504,P. Wlazło,LCMF,right_foot,FALSE,TRUE,glb,0.1638,0.4852,1414463200,292899,P. Lenarcik,1414463441,7.6067415,,6,5,38,36,82,48,13544,Stal Mielec,3-4-3,TRUE,TRUE,FALSE,right,0.1638,18,6
5349316,1H,36,43,00:36:43.508,2209.508109,NA,NA,NA,NA,NA,NA,shot,,79,30,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,3-4-3,544528,O. Kobacki,LW,right_foot,FALSE,TRUE,glb,0.0404,0.03824,1414463458,482171,B. Mrozek,1414463201,10.123735,,6,5,15,52,79,30,13585,Miedź Legnica,4-1-4-1,TRUE,TRUE,FALSE,left,0.0404,29,44
5349316,1H,44,7,00:44:07.008,2653.00896,NA,NA,NA,NA,NA,NA,shot,,89,66,13544,Stal Mielec,3-4-3,13585,Miedź Legnica,4-1-4-1,603188,A. Ratajczyk,RWF,right_foot,TRUE,TRUE,gtr,0.1589,0.4688,1414463402,292899,P. Lenarcik,1414463623,10.1290215,,8,7,25,29,89,66,13544,Stal Mielec,3-4-3,TRUE,TRUE,TRUE,center,0.1589,19,55
5349316,2H,46,38,00:46:38.610,2907.610162,NA,NA,NA,NA,NA,NA,shot,,88,29,13544,Stal Mielec,3-4-3,13585,Miedź Legnica,4-1-4-1,281522,M. Domański,LWF,right_foot,FALSE,FALSE,olb,0.026950000000000002,NA,NA,NA,NA,1414463687,6.375451,,6,5,57,0,88,29,13544,Stal Mielec,3-4-3,TRUE,FALSE,FALSE,left,0.027,24,60
5349316,2H,54,12,00:54:12.432,3361.432333,NA,NA,NA,NA,NA,NA,shot,,76,49,13544,Stal Mielec,3-4-3,13585,Miedź Legnica,4-1-4-1,603188,A. Ratajczyk,RWF,right_foot,FALSE,TRUE,gb,0.04117,0.03125,1414463644,292899,P. Lenarcik,1414463850,3.8074315,,3,2,53,61,76,49,13544,Stal Mielec,3-4-3,TRUE,TRUE,FALSE,right,0.0412,24,2
5349316,2H,81,44,01:21:44.040,5013.04018,NA,NA,NA,NA,NA,NA,shot,,70,65,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,5-4-1,141330,C. Martínez,RB,right_foot,FALSE,FALSE,bc,0.002832,NA,NA,NA,NA,1414464220,3.0155735,,4,3,68,30,70,65,13585,Miedź Legnica,4-1-4-1,TRUE,FALSE,FALSE,center,0.0028,34,27
5349316,2H,85,26,01:25:26.301,5235.301364,NA,NA,NA,NA,NA,NA,shot,,73,39,13544,Stal Mielec,5-4-1,13585,Miedź Legnica,4-1-4-1,99504,P. Wlazło,LCMF,right_foot,FALSE,FALSE,ot,0.02329,NA,NA,NA,NA,1414464459,21.868988,,12,11,30,13,73,39,13544,Stal Mielec,5-4-1,TRUE,FALSE,FALSE,center,0.0233,29,22
5349316,2H,87,58,01:27:58.551,5387.551265,NA,NA,NA,NA,NA,NA,shot,,78,43,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,5-4-1,445636,Koldo Obieta,CF,right_foot,FALSE,FALSE,bc,0.01105,NA,NA,NA,NA,1414464274,20.618092,,11,10,12,52,78,43,13585,Miedź Legnica,4-1-4-1,TRUE,FALSE,FALSE,left,0.0111,23,18
5349316,2H,91,5,01:31:05.455,5574.455859,NA,NA,NA,NA,NA,NA,shot,,81,36,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,5-4-1,505829,M. Lehaire,LW,right_foot,FALSE,FALSE,bc,0.01318,NA,NA,NA,NA,1414464324,32.4493685,,17,16,23,39,81,36,13585,Miedź Legnica,4-1-4-1,TRUE,FALSE,FALSE,right,0.0132,24,36
5349316,2H,91,7,01:31:07.023,5576.023917,NA,NA,NA,NA,NA,NA,shot,,71,52,13585,Miedź Legnica,4-1-4-1,13544,Stal Mielec,5-4-1,49973,L. Gülen,LCB,right_foot,FALSE,FALSE,ot,0.03568,NA,NA,NA,NA,1414464348,0.0,,1,0,71,52,71,52,13585,Miedź Legnica,4-1-4-1,TRUE,FALSE,FALSE,center,0.0357,29,4
5349317,1H,0,28,00:00:28.333,34.333288,NA,NA,NA,NA,NA,NA,shot,,72,70,13512,Górnik Zabrze,3-4-3,13520,Zagłębie Lubin,4-2-3-1,99437,P. Olkowski,RWB,right_foot,FALSE,FALSE,otr,0.03012,NA,NA,NA,NA,1412834712,13.4411645,,8,7,64,11,72,70,13512,Górnik Zabrze,3-4-3,TRUE,FALSE,FALSE,left,0.0301,34,36
5349317,1H,4,4,00:04:04.817,250.817931,NA,NA,NA,NA,NA,NA,shot,,91,37,13512,Górnik Zabrze,3-4-3,13520,Zagłębie Lubin,4-2-3-1,477101,R. Dadok,RWF,right_foot,FALSE,FALSE,ptr,0.05444,NA,NA,NA,NA,1412834786,6.786911,,9,8,95,0,91,37,13512,Górnik Zabrze,3-4-3,TRUE,FALSE,FALSE,left,0.0544,16,55
5349317,1H,6,0,00:06:00.586,366.586972,NA,NA,NA,NA,NA,NA,shot,,83,68,13512,Górnik Zabrze,3-4-3,13520,Zagłębie Lubin,4-2-3-1,477101,R. Dadok,RWF,left_foot,FALSE,FALSE,bc,0.00223,NA,NA,NA,NA,1412834850,7.5897185,,9,8,81,100,83,68,13512,Górnik Zabrze,3-4-3,TRUE,FALSE,FALSE,center,0.0022,25,47
